,0
0,-5.82737114167759
1,-6.660822633542878
2,-7.751035238409429
3,-8.9034823145121
4,-9.881914899507768
5,-8.957962620416279
6,-6.812174186644427
7,-5.573290384883515
8,-4.695397642079735
9,-1.8049992436511606
10,0.36897627430424995
11,1.918980807238429
12,1.8322493072179598
13,1.6347601937109235
14,0.9781744889138277
15,0.37690914078172666
16,1.1129956874975804
17,0.8600838600243801
18,0.4997457908336349
19,0.6554014648534063
20,0.6682101970384466
21,0.17946127305688409
22,-1.1889301621082384
23,-1.881988921210628
24,-2.5943485380967215
25,-3.2648035355714966
26,-3.7416945942011846
27,-4.292278323300909
28,-5.017483658616095
29,-4.911182784047625
30,-3.428812636074229
31,-1.6854986670925203
32,-0.09872697015243181
33,2.8322507203753795
34,3.0089286260449324
35,2.132464006352218
36,1.4724441656862273
37,1.0789258840650104
38,2.484797149723656
39,3.281948359869518
40,4.063103279579572
41,4.19651898624745
42,4.671347459060719
43,2.5378572994241666
44,0.9939329571076332
45,0.02601699305082894
46,-0.7547751232213109
47,-1.5759250715127364
48,-2.4554058863570227
49,-4.247584818660902
50,-4.5097082129351165
51,-5.007267751461377
52,-5.412324638842922
53,-4.681645293044749
54,-3.555235394951833
55,-2.066814787681411
56,0.1878958344477777
57,2.6138198373980064
58,4.706779548001652
59,7.389287483154737
60,5.519767415505454
61,4.005548691468688
62,6.561228388903862
63,7.248174289843261
64,6.679978143954447
65,5.884784947429438
66,2.939851006349376
67,1.391934580957813
68,1.237784987779904
69,0.6503945058260285
70,0.7390062349206463
71,0.8904013667439648
72,0.08505075158084852
73,-2.477912679756763
74,-4.035051039005889
75,-5.102620793420753
76,-5.408665175845574
77,-4.246618334575858
78,-2.0204847243892936
79,0.4088079675255627
80,1.7842278047999496
81,4.012083178733561
82,6.196917352857975
83,5.35433773071999
84,6.163151492809694
85,4.206091651768028
86,2.79017994621328
87,3.5544418390443773
88,4.488613932268196
89,5.558556616605808
90,4.265105840982599
91,2.0227414842423004
92,1.6760664856317422
93,1.1909736048195811
94,0.5198146919651099
95,-1.176986087565028
96,-2.55034992694169
97,-4.362267216052507
98,-5.867001123952628
99,-6.679431239686117
100,-6.488055346869
101,-5.298544687608864
102,-3.238731639597846
103,-1.3837695094678195
104,-0.5509185453118777
105,-0.03776022269352186
106,3.028741185872126
107,5.336258462072053
108,6.48837801294105
109,6.905388624469515
110,6.940998546334671
111,7.134704096043892
112,7.663231737461301
113,8.33758053299663
114,7.861907492807411
115,6.543560973771273
116,4.3267001142639545
117,3.4206951012479903
118,0.2115756880460986
119,-0.3884631890078998
120,-1.4363580519931314
121,-2.435084399904205
122,-3.3431650278797433
123,-4.3485552050866065
124,-5.060948719135926
125,-4.789962017740679
126,-3.1010542288337937
127,-0.6533979258765741
128,1.3486868140628583
129,4.0356287824799555
130,4.204725615620584
131,7.198815869281459
132,7.842564536445543
133,7.493357982231037
134,7.318929748982706
135,7.320735092348473
136,7.761648167877317
137,7.93677410224551
138,6.871316561372009
139,6.006820776145787
140,4.7040719718415875
141,3.8150364542213886
142,2.3498187061037297
143,-0.21282637607304178
144,0.7570899650371161
145,0.46728186298684626
146,0.7015586200802693
147,-0.15204206071004656
148,-1.1923265837158454
149,-0.789263321577391
150,1.7106973953119176
151,3.545731288975599
152,4.2839508133444575
153,5.610894436179256
154,7.08063031644026
155,8.4454704487407
156,9.782568129515917
157,10.357992516961621
158,10.60855870426257
159,10.543625443734573
160,9.513378876861788
161,8.397800888487096
